型号,尺寸（mm）,阻抗(Ω),功率（W）,链接
36mm 8欧2W喇叭（1个）,36,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541803&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
小喇叭扬声器3瓦/4欧3W/4R直径4CM（1个）,40,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541810&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭 扬声器 直径4CM 8欧 0.5W 0.5瓦 8R/0.5W(2个）,40,8,0.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541797&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭（扬声器）40mm 8欧2w（1个）,40,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541808&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
8欧0.5瓦40mm喇叭扬声器（1个）,40,8,0.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541806&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
4CM 4欧3W单磁喇叭 扬声器（1个）,40,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232046&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
4CM 4欧3W双磁喇叭 扬声器（1个）,40,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232047&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
8欧2W 1.5寸 方形全频喇叭扬声器 4CM（1个）,40,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5018664406519&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径40mm 8欧 0.5W 小喇叭 塑胶（2个）,40,8,0.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962448&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径40mm 8欧 1W 小喇叭 铁壳内磁（1个）,40,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962457&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
4欧3W扬声器50mm外磁喇叭（1个）,50,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541798&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
扬声器50mm喇叭8欧1w2寸（1个）,50,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541805&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2寸50mm16芯全频喇叭4欧5W（1个）,50,4,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3916689758828&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2寸50mm16芯全频喇叭8欧3W（1个）,50,8,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3916689758827&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2寸50mm16芯全频喇叭8欧5W（1个）,50,8,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3916689758826&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径50mm 8欧 0.5W 小喇叭 塑胶（2个）,50,8,0.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962449&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭2寸扬声器52mm45磁泡边4欧3w（1个）,52,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541794&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭57mm扬声器8欧1w（1个）,57,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541804&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
直径57mm 8欧 0.5W 小喇叭 塑胶环保（2个）,57,8,0.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5083441962458&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2.5寸66mm寸防磁2寸半8欧5W（1个）,66,8,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3916689758824&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
小喇叭扬声器 5瓦3寸4欧 5W 77mm（1个）,77,4,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541791&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3寸8R 20W外磁全频喇叭（1个）,77,8,20,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232045&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3寸4R 20W外磁方形喇叭（1个）,77,4,20,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232059&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3寸8R 20W外磁方形喇叭（1个）,77,8,20,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232060&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
4欧5W 3寸 圆形外磁喇叭 77mm 扬声器（1个）,77,4,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5018664406518&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
4寸防水方形 4欧10W喇叭（1个）,100,4,10,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232048&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
4寸防水方形 8欧10W喇叭（1个）,100,8,10,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232049&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭8欧1w扬声器1420椭圆形（1个）,1420,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541802&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
扬声器喇叭2030椭圆形大磁8欧1.5w（1个）,2030,8,1.5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541811&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2030 4欧3W腔体喇叭 扬声器（1个）,2030,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232050&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2030 8欧2W腔体喇叭 扬声器（1个）,2030,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232051&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
铁壳小喇叭8R 2W 2040 20*40mm（1个）,2040,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3916689758825&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
喇叭扬声器2415大磁8欧1w（1个）,2415,8,1,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3740943541793&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2535 4欧3W方形小型腔体喇叭（1个）,2535,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232052&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2535 8欧2W方形小型腔体喇叭（1个）,2535,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232053&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2831 4欧3W全频腔体喇叭（1个）,2831,4,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232054&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2840 8R 2W 8欧12.5MM 笔记本（1个）,2840,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3916689758823&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
2840 (28*40MM)8欧2W（1个）,2840,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4896657072186&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3070 8欧5瓦 5W8R 8R5W 30X70MM（1个）,3070,8,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3916689758829&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3070 4欧5W显示器扬声器喇叭（1个）,3070,4,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232055&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3070(30* 70MM)8欧3W带2P端子（1个）,3070,8,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4896657072187&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3080(30* 80MM)带2P 2.0端子8欧2W（1个）,3080,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4896657072183&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3370(33* 70MM)带2P 2.0端子8欧2W（1个）,3370,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4896657072181&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3370(33* 70MM)带2P 2.0端子8欧3W（1个）,3370,8,3,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4896657072182&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3516 (35*16MM)8欧2W（1个）,3516,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4896657072185&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
3718(37* 18MM)带2P 2.0端子8欧2W（1个）,3718,8,2,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4896657072180&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
4070电视机 外磁喇叭8欧5W 大磁喇叭（1个）,4070,8,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=3916689758822&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
4070 4欧5W大磁喇叭（1个）,4070,4,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232056&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
5090 4欧10W-长方形喇叭（1个）,5090,4,10,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232057&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
5090 8欧10W长方形喇叭（1个）,5090,8,10,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4845347232058&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
45100(45*100MM)带2P 2.0端子8欧5W（1个）,45100,8,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=4896657072184&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
45100 双振膜8欧5W喇叭 带2P 2.0端子（1个）,45100,8,5,https://detail.tmall.com/item.htm?abbucket=0&id=536616543645&rn=15fbebdcfc4d7b7da1db2d37bad88a84&skuId=5012637008963&spm=a1z10.3-b-s.w4011-25323207904.53.3a573d6cVCxY62
